date,window,score
1976-08-17,full,49.48
1976-08-17,rolling20y,46.8
1976-08-18,full,50.19
1976-08-18,rolling20y,47.72
1976-08-19,full,53.33
1976-08-19,rolling20y,52.07
1976-08-20,full,55.92
1976-08-20,rolling20y,55.28
1976-08-23,full,57.01
1976-08-23,rolling20y,56.68
1976-08-24,full,58.72
1976-08-24,rolling20y,58.84
1976-08-25,full,57.15
1976-08-25,rolling20y,56.84
1976-08-26,full,58.93
1976-08-26,rolling20y,59.1
1976-08-27,full,58.65
1976-08-27,rolling20y,58.75
1976-08-30,full,57.43
1976-08-30,rolling20y,57.13
1976-08-31,full,55.57
1976-08-31,rolling20y,54.8
1976-09-01,full,55.05
1976-09-01,rolling20y,53.62
1976-09-02,full,55.5
1976-09-02,rolling20y,54.25
1976-09-03,full,54.81
1976-09-03,rolling20y,53.31
1976-09-06,full,54.81
1976-09-06,rolling20y,53.31
1976-09-07,full,53.14
1976-09-07,rolling20y,50.87
1976-09-08,full,53.55
1976-09-08,rolling20y,51.41
1976-09-09,full,55.14
1976-09-09,rolling20y,53.76
1976-09-10,full,54.71
1976-09-10,rolling20y,53.12
1976-09-13,full,55.72
1976-09-13,rolling20y,54.56
1976-09-14,full,56.59
1976-09-14,rolling20y,55.62
1976-09-15,full,56.18
1976-09-15,rolling20y,55.2
1976-09-16,full,53.65
1976-09-16,rolling20y,51.56
1976-09-17,full,51.66
1976-09-17,rolling20y,48.87
1976-09-20,full,51.74
1976-09-20,rolling20y,48.99
1976-09-21,full,48.73
1976-09-21,rolling20y,45.3
1976-09-22,full,49.77
1976-09-22,rolling20y,46.73
1976-09-23,full,51.13
1976-09-23,rolling20y,48.28
1976-09-24,full,51.63
1976-09-24,rolling20y,48.82
1976-09-27,full,50.86
1976-09-27,rolling20y,47.98
1976-09-28,full,54.35
1976-09-28,rolling20y,52.56
1976-09-29,full,55.82
1976-09-29,rolling20y,54.74
1976-09-30,full,56.32
1976-09-30,rolling20y,55.36
1976-10-01,full,59.68
1976-10-01,rolling20y,59.26
1976-10-04,full,60.15
1976-10-04,rolling20y,59.82
1976-10-05,full,62.17
1976-10-05,rolling20y,62.33
1976-10-06,full,62.86
1976-10-06,rolling20y,63.07
1976-10-07,full,61.83
1976-10-07,rolling20y,62.0
1976-10-08,full,63.77
1976-10-08,rolling20y,63.77
1976-10-11,full,65.41
1976-10-11,rolling20y,65.46
1976-10-12,full,66.73
1976-10-12,rolling20y,67.23
1976-10-13,full,64.8
1976-10-13,rolling20y,64.73
