date,window,score,regime
1975-06-04,full,57.92,cool
1975-06-04,rolling20y,50.83,cool
1975-06-05,full,57.92,cool
1975-06-05,rolling20y,50.83,cool
1975-06-06,full,57.92,cool
1975-06-06,rolling20y,50.83,cool
1975-06-09,full,57.92,cool
1975-06-09,rolling20y,50.83,cool
1975-06-10,full,57.92,cool
1975-06-10,rolling20y,50.83,cool
1975-06-11,full,57.92,cool
1975-06-11,rolling20y,50.83,cool
1975-06-12,full,57.92,cool
1975-06-12,rolling20y,50.83,cool
1975-06-13,full,57.92,cool
1975-06-13,rolling20y,50.83,cool
1975-06-16,full,57.92,cool
1975-06-16,rolling20y,50.83,cool
1975-06-17,full,57.92,cool
1975-06-17,rolling20y,50.83,cool
1975-06-18,full,57.92,cool
1975-06-18,rolling20y,50.83,cool
1975-06-19,full,57.92,cool
1975-06-19,rolling20y,50.83,cool
1975-06-20,full,57.92,cool
1975-06-20,rolling20y,50.83,cool
1975-06-23,full,57.92,cool
1975-06-23,rolling20y,50.83,cool
1975-06-24,full,57.92,cool
1975-06-24,rolling20y,50.83,cool
1975-06-25,full,57.92,cool
1975-06-25,rolling20y,50.83,cool
1975-06-26,full,57.92,cool
1975-06-26,rolling20y,50.83,cool
1975-06-27,full,57.92,cool
1975-06-27,rolling20y,50.83,cool
1975-06-30,full,57.92,cool
1975-06-30,rolling20y,50.83,cool
1975-07-01,full,54.43,cool
1975-07-01,rolling20y,47.85,cool
1975-07-02,full,54.43,cool
1975-07-02,rolling20y,47.85,cool
1975-07-03,full,54.43,cool
1975-07-03,rolling20y,47.85,cool
1975-07-04,full,54.43,cool
1975-07-04,rolling20y,47.85,cool
1975-07-07,full,54.43,cool
1975-07-07,rolling20y,47.85,cool
1975-07-08,full,54.43,cool
1975-07-08,rolling20y,47.85,cool
1975-07-09,full,54.43,cool
1975-07-09,rolling20y,47.85,cool
1975-07-10,full,54.43,cool
1975-07-10,rolling20y,47.85,cool
1975-07-11,full,54.43,cool
1975-07-11,rolling20y,47.85,cool
1975-07-14,full,54.43,cool
1975-07-14,rolling20y,47.85,cool
1975-07-15,full,54.43,cool
1975-07-15,rolling20y,47.85,cool
1975-07-16,full,54.43,cool
1975-07-16,rolling20y,47.85,cool
1975-07-17,full,54.43,cool
1975-07-17,rolling20y,47.85,cool
1975-07-18,full,54.43,cool
1975-07-18,rolling20y,47.85,cool
1975-07-21,full,54.43,cool
1975-07-21,rolling20y,47.85,cool
1975-07-22,full,54.43,cool
1975-07-22,rolling20y,47.85,cool
1975-07-23,full,54.43,cool
1975-07-23,rolling20y,47.85,cool
1975-07-24,full,54.43,cool
1975-07-24,rolling20y,47.85,cool
1975-07-25,full,54.43,cool
1975-07-25,rolling20y,47.85,cool
1975-07-28,full,54.43,cool
1975-07-28,rolling20y,47.85,cool
1975-07-29,full,54.43,cool
1975-07-29,rolling20y,47.85,cool
1975-07-30,full,54.43,cool
1975-07-30,rolling20y,47.85,cool
1975-07-31,full,54.43,cool
1975-07-31,rolling20y,47.85,cool
1975-08-01,full,53.63,cool
1975-08-01,rolling20y,47.56,cool
1975-08-04,full,53.63,cool
1975-08-04,rolling20y,47.56,cool
1975-08-05,full,53.63,cool
1975-08-05,rolling20y,47.56,cool
