date,window,pillar,score
1990-02-15,rolling20y,valuation,79.58
1990-02-16,full,leverage,99.68
1990-02-16,full,liquidity,38.66
1990-02-16,full,valuation,57.21
1990-02-16,rolling20y,leverage,99.38
1990-02-16,rolling20y,liquidity,42.92
1990-02-16,rolling20y,valuation,79.58
1990-02-19,full,leverage,99.68
1990-02-19,full,liquidity,38.66
1990-02-19,full,valuation,57.21
1990-02-19,rolling20y,leverage,99.38
1990-02-19,rolling20y,liquidity,42.92
1990-02-19,rolling20y,valuation,79.58
1990-02-20,full,leverage,99.68
1990-02-20,full,liquidity,38.18
1990-02-20,full,valuation,57.21
1990-02-20,rolling20y,leverage,99.38
1990-02-20,rolling20y,liquidity,42.44
1990-02-20,rolling20y,valuation,79.58
1990-02-21,full,leverage,99.68
1990-02-21,full,liquidity,37.99
1990-02-21,full,valuation,57.21
1990-02-21,rolling20y,leverage,99.38
1990-02-21,rolling20y,liquidity,42.25
1990-02-21,rolling20y,valuation,79.58
1990-02-22,full,leverage,99.68
1990-02-22,full,liquidity,38.31
1990-02-22,full,valuation,57.21
1990-02-22,rolling20y,leverage,99.38
1990-02-22,rolling20y,liquidity,42.57
1990-02-22,rolling20y,valuation,79.58
1990-02-23,full,leverage,99.68
1990-02-23,full,liquidity,38.17
1990-02-23,full,valuation,57.21
1990-02-23,rolling20y,leverage,99.38
1990-02-23,rolling20y,liquidity,42.43
1990-02-23,rolling20y,valuation,79.58
1990-02-26,full,leverage,99.68
1990-02-26,full,liquidity,38.45
1990-02-26,full,valuation,57.21
1990-02-26,rolling20y,leverage,99.38
1990-02-26,rolling20y,liquidity,42.71
1990-02-26,rolling20y,valuation,79.58
1990-02-27,full,leverage,99.68
1990-02-27,full,liquidity,38.55
1990-02-27,full,valuation,57.21
1990-02-27,rolling20y,leverage,99.38
1990-02-27,rolling20y,liquidity,42.81
1990-02-27,rolling20y,valuation,79.58
1990-02-28,full,leverage,99.68
1990-02-28,full,liquidity,38.44
1990-02-28,full,valuation,57.21
1990-02-28,rolling20y,leverage,99.38
1990-02-28,rolling20y,liquidity,42.7
1990-02-28,rolling20y,valuation,79.58
1990-03-01,full,leverage,99.68
1990-03-01,full,liquidity,39.6
1990-03-01,full,valuation,58.64
1990-03-01,rolling20y,leverage,99.38
1990-03-01,rolling20y,liquidity,44.19
1990-03-01,rolling20y,valuation,80.62
1990-03-02,full,leverage,99.68
1990-03-02,full,liquidity,39.6
1990-03-02,full,valuation,58.64
1990-03-02,rolling20y,leverage,99.38
1990-03-02,rolling20y,liquidity,44.19
1990-03-02,rolling20y,valuation,80.62
1990-03-05,full,leverage,99.68
1990-03-05,full,liquidity,39.06
1990-03-05,full,valuation,58.64
1990-03-05,rolling20y,leverage,99.38
1990-03-05,rolling20y,liquidity,43.65
1990-03-05,rolling20y,valuation,80.62
1990-03-06,full,leverage,99.68
1990-03-06,full,liquidity,39.73
1990-03-06,full,valuation,58.64
1990-03-06,rolling20y,leverage,99.38
1990-03-06,rolling20y,liquidity,44.32
1990-03-06,rolling20y,valuation,80.62
1990-03-07,full,leverage,99.68
1990-03-07,full,liquidity,39.85
1990-03-07,full,valuation,58.64
1990-03-07,rolling20y,leverage,99.38
1990-03-07,rolling20y,liquidity,44.44
1990-03-07,rolling20y,valuation,80.62
1990-03-08,full,leverage,99.68
1990-03-08,full,liquidity,40.32
1990-03-08,full,valuation,58.64
1990-03-08,rolling20y,leverage,99.38
1990-03-08,rolling20y,liquidity,44.91
1990-03-08,rolling20y,valuation,80.62
1990-03-09,full,leverage,99.68
1990-03-09,full,liquidity,40.91
1990-03-09,full,valuation,58.64
1990-03-09,rolling20y,leverage,99.38
1990-03-09,rolling20y,liquidity,45.49
1990-03-09,rolling20y,valuation,80.62
1990-03-12,full,leverage,99.68
1990-03-12,full,liquidity,40.9
1990-03-12,full,valuation,58.64
1990-03-12,rolling20y,leverage,99.38
1990-03-12,rolling20y,liquidity,45.49
1990-03-12,rolling20y,valuation,80.62
1990-03-13,full,leverage,99.68
1990-03-13,full,liquidity,40.45
1990-03-13,full,valuation,58.64
1990-03-13,rolling20y,leverage,99.38
1990-03-13,rolling20y,liquidity,45.04
1990-03-13,rolling20y,valuation,80.62
1990-03-14,full,leverage,99.68
1990-03-14,full,liquidity,40.45
1990-03-14,full,valuation,58.64
1990-03-14,rolling20y,leverage,99.38
1990-03-14,rolling20y,liquidity,45.04
1990-03-14,rolling20y,valuation,80.62
1990-03-15,full,leverage,99.68
1990-03-15,full,liquidity,40.56
1990-03-15,full,valuation,58.64
1990-03-15,rolling20y,leverage,99.38
1990-03-15,rolling20y,liquidity,45.15
1990-03-15,rolling20y,valuation,80.62
1990-03-16,full,leverage,99.68
1990-03-16,full,liquidity,40.55
1990-03-16,full,valuation,58.64
1990-03-16,rolling20y,leverage,99.38
1990-03-16,rolling20y,liquidity,45.14
1990-03-16,rolling20y,valuation,80.62
1990-03-19,full,leverage,99.68
1990-03-19,full,liquidity,41.0
1990-03-19,full,valuation,58.64
1990-03-19,rolling20y,leverage,99.38
1990-03-19,rolling20y,liquidity,45.59
1990-03-19,rolling20y,valuation,80.62
1990-03-20,full,leverage,99.68
1990-03-20,full,liquidity,41.63
